Reference	Position	Spanning_Reads	Bases_Mapped	A_Freq	T_Freq	G_Freq	C_Freq	N_freq	MismatchFreq	InsertionFreq	DeletionFreq	BCErrorFreq	MeanQual
host-tRNA-Ala-GGC-1-1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
host-tRNA-Ala-GGC-1-1	2	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
host-tRNA-Ala-GGC-1-1	3	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
host-tRNA-Ala-GGC-1-1	4	2	2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5
host-tRNA-Ala-GGC-1-1	5	2	2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0
host-tRNA-Ala-GGC-1-1	6	3	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.333333333333333
host-tRNA-Ala-GGC-1-1	7	3	3	0.6666666666666666	0.0	0.3333333333333333	0.0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.6666666666666666	5.333333333333333
host-tRNA-Ala-GGC-1-1	8	3	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.333333333333333
host-tRNA-Ala-GGC-1-1	9	10	10	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.3
host-tRNA-Ala-GGC-1-1	10	19	18	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05263157894736842	0.05263157894736842	7.0
host-tRNA-Ala-GGC-1-1	11	129	129	0.9844961240310077	0.007751937984496124	0.007751937984496124	0.0	0.0	0.015503875968992248	0.0	0.0	0.015503875968992248	8.612403100775193
host-tRNA-Ala-GGC-1-1	12	173	173	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	10.080924855491329
host-tRNA-Ala-GGC-1-1	13	267	266	0.9360902255639098	0.03759398496240601	0.022556390977443608	0.0037593984962406013	0.0	0.06390977443609022	0.0037593984962406013	0.003745318352059925	0.07116104868913857	9.958646616541353
host-tRNA-Ala-GGC-1-1	14	455	454	0.9911894273127754	0.004405286343612335	0.004405286343612335	0.0	0.0	0.00881057268722467	0.004405286343612335	0.002197802197802198	0.015384615384615385	13.495594713656388
host-tRNA-Ala-GGC-1-1	15	468	466	0.0	0.002145922746781116	0.9935622317596566	0.004291845493562232	0.0	0.006437768240343348	0.0	0.004273504273504274	0.010683760683760684	13.55793991416309
host-tRNA-Ala-GGC-1-1	16	482	477	0.9727463312368972	0.006289308176100629	0.0020964360587002098	0.018867924528301886	0.0	0.027253668763102725	0.006289308176100629	0.01037344398340249	0.043568464730290454	13.675052410901468
host-tRNA-Ala-GGC-1-1	17	482	482	0.975103734439834	0.008298755186721992	0.012448132780082987	0.004149377593360996	0.0	0.024896265560165973	0.006224066390041493	0.0	0.03112033195020747	11.510373443983402
host-tRNA-Ala-GGC-1-1	18	482	482	0.0	0.004149377593360996	0.9813278008298755	0.014522821576763486	0.0	0.01867219917012448	0.002074688796680498	0.0	0.02074688796680498	10.975103734439834
host-tRNA-Ala-GGC-1-1	19	482	465	0.008602150537634409	0.008602150537634409	0.008602150537634409	0.9741935483870968	0.0	0.025806451612903226	0.025806451612903226	0.035269709543568464	0.08506224066390042	12.079569892473119
host-tRNA-Ala-GGC-1-1	20	482	476	0.012605042016806723	0.008403361344537815	0.008403361344537815	0.9705882352941176	0.0	0.029411764705882353	0.02100840336134454	0.012448132780082987	0.06224066390041494	12.13655462184874
host-tRNA-Ala-GGC-1-1	21	482	454	0.05726872246696035	0.9096916299559471	0.004405286343612335	0.028634361233480177	0.0	0.09030837004405286	0.04405286343612335	0.058091286307053944	0.18464730290456433	12.541850220264317
host-tRNA-Ala-GGC-1-1	22	482	420	0.12142857142857143	0.011904761904761904	0.8523809523809524	0.014285714285714285	0.0	0.14761904761904762	0.011904761904761904	0.12863070539419086	0.2676348547717842	13.104761904761904
host-tRNA-Ala-GGC-1-1	23	482	399	0.06516290726817042	0.015037593984962405	0.8947368421052632	0.02506265664160401	0.0	0.10526315789473684	0.02756892230576441	0.17219917012448133	0.2821576763485477	14.087719298245615
host-tRNA-Ala-GGC-1-1	24	482	342	0.20760233918128654	0.5467836257309941	0.0	0.24561403508771928	0.0	1.0	0.011695906432748537	0.29045643153526973	1.008298755186722	11.742690058479532
host-tRNA-Ala-GGC-1-1	25	482	456	0.11403508771929824	0.09868421052631579	0.7785087719298246	0.008771929824561403	0.0	0.22149122807017543	0.021929824561403508	0.05394190871369295	0.2842323651452282	12.168859649122806
host-tRNA-Ala-GGC-1-1	26	482	463	0.08423326133909287	0.028077753779697623	0.8768898488120951	0.01079913606911447	0.0	0.12311015118790497	0.02591792656587473	0.03941908713692946	0.1825726141078838	13.842332613390928
host-tRNA-Ala-GGC-1-1	27	482	467	0.08993576017130621	0.023554603854389723	0.8736616702355461	0.01284796573875803	0.0	0.12633832976445397	0.014989293361884369	0.03112033195020747	0.16804979253112035	10.413276231263383
host-tRNA-Ala-GGC-1-1	28	482	457	0.030634573304157548	0.01312910284463895	0.9387308533916849	0.0175054704595186	0.0	0.061269146608315096	0.015317286652078774	0.05186721991701245	0.12448132780082988	9.175054704595185
host-tRNA-Ala-GGC-1-1	29	482	451	0.019955654101995565	0.022172949002217297	0.004434589800443459	0.9534368070953437	0.0	0.04656319290465632	0.004434589800443459	0.06431535269709543	0.11203319502074689	8.858093126385809
host-tRNA-Ala-GGC-1-1	30	482	415	0.06506024096385542	0.9108433734939759	0.00963855421686747	0.014457831325301205	0.0	0.0891566265060241	0.00963855421686747	0.13900414937759337	0.22406639004149378	9.132530120481928
host-tRNA-Ala-GGC-1-1	31	482	353	0.7365439093484419	0.0084985835694051	0.20679886685552407	0.04815864022662889	0.0	0.26345609065155806	0.056657223796033995	0.2676348547717842	0.5020746887966805	10.243626062322946
