Reference	Position	Spanning_Reads	Bases_Mapped	A_Freq	T_Freq	G_Freq	C_Freq	N_freq	MismatchFreq	InsertionFreq	DeletionFreq	BCErrorFreq	MeanQual
host-tRNA-Ala-GGC-1-1	1	5	5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	9.8
host-tRNA-Ala-GGC-1-1	2	5	5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	8.2
host-tRNA-Ala-GGC-1-1	3	5	5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.2
host-tRNA-Ala-GGC-1-1	4	5	5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.8
host-tRNA-Ala-GGC-1-1	5	5	5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.8
host-tRNA-Ala-GGC-1-1	6	5	3	0.6666666666666666	0.3333333333333333	0.0	0.0	0.0	1.0	0.0	0.4	1.0	6.333333333333333
host-tRNA-Ala-GGC-1-1	7	7	7	0.7142857142857143	0.0	0.0	0.2857142857142857	0.0	0.2857142857142857	0.0	0.0	0.2857142857142857	8.0
host-tRNA-Ala-GGC-1-1	8	8	8	0.125	0.0	0.375	0.5	0.0	0.625	0.125	0.0	0.75	7.75
host-tRNA-Ala-GGC-1-1	9	130	130	0.007692307692307693	0.0	0.007692307692307693	0.9846153846153847	0.0	0.015384615384615385	0.0	0.0	0.015384615384615385	8.73076923076923
host-tRNA-Ala-GGC-1-1	10	193	192	0.9791666666666666	0.0	0.0	0.020833333333333332	0.0	0.020833333333333332	0.0	0.0051813471502590676	0.025906735751295335	9.859375
host-tRNA-Ala-GGC-1-1	11	456	455	0.9274725274725275	0.01098901098901099	0.05714285714285714	0.004395604395604396	0.0	0.07252747252747253	0.002197802197802198	0.0021929824561403508	0.07675438596491228	12.474725274725275
