Reference	Position	ErrorFrequency
tRNA-Ala-AGC-1-1	1	0.0
tRNA-Ala-AGC-1-1	2	0.0
tRNA-Ala-AGC-1-1	3	0.0
tRNA-Ala-AGC-1-1	4	0.0
tRNA-Ala-AGC-1-1	5	0.0
tRNA-Ala-AGC-1-1	6	0.0
tRNA-Ala-AGC-1-1	7	0.0
tRNA-Ala-AGC-1-1	8	0.25
tRNA-Ala-AGC-1-1	9	0.2
tRNA-Ala-AGC-1-1	10	0.1
tRNA-Ala-AGC-1-1	11	0.1
tRNA-Ala-AGC-1-1	12	0.0
tRNA-Ala-AGC-1-1	13	0.05714285714285714
tRNA-Ala-AGC-1-1	14	0.0
tRNA-Ala-AGC-1-1	15	0.0
tRNA-Ala-AGC-1-1	16	0.019230769230769232
tRNA-Ala-AGC-1-1	17	0.05555555555555555
tRNA-Ala-AGC-1-1	18	0.0
tRNA-Ala-AGC-1-1	19	0.02531645569620253
tRNA-Ala-AGC-1-1	20	0.05063291139240506
tRNA-Ala-AGC-1-1	21	0.1388888888888889
tRNA-Ala-AGC-1-1	22	0.08333333333333333
tRNA-Ala-AGC-1-1	23	0.06349206349206349
tRNA-Ala-AGC-1-1	24	1.0
tRNA-Ala-AGC-1-1	25	0.11538461538461539
tRNA-Ala-AGC-1-1	26	0.1511627906976744
tRNA-Ala-AGC-1-1	27	0.14444444444444443
tRNA-Ala-AGC-1-1	28	0.06818181818181818
tRNA-Ala-AGC-1-1	29	0.06976744186046512
tRNA-Ala-AGC-1-1	30	0.058823529411764705
tRNA-Ala-AGC-1-1	31	0.056818181818181816
tRNA-Ala-AGC-1-1	32	0.07954545454545454
tRNA-Ala-AGC-1-1	33	0.3473684210526316
tRNA-Ala-AGC-1-1	34	0.09090909090909091
tRNA-Ala-AGC-1-1	35	0.08080808080808081
tRNA-Ala-AGC-1-1	36	0.10416666666666667
tRNA-Ala-AGC-1-1	37	0.1134020618556701
tRNA-Ala-AGC-1-1	38	0.24719101123595505
tRNA-Ala-AGC-1-1	39	0.11702127659574468
tRNA-Ala-AGC-1-1	40	0.17391304347826086
tRNA-Ala-AGC-1-1	41	0.25
tRNA-Ala-AGC-1-1	42	0.3048780487804878
tRNA-Ala-AGC-1-1	43	0.14285714285714285
tRNA-Ala-AGC-1-1	44	0.28205128205128205
tRNA-Ala-AGC-1-1	45	0.5476190476190477
tRNA-Ala-AGC-1-1	46	0.14457831325301204
tRNA-Ala-AGC-1-1	47	0.22580645161290322
tRNA-Ala-AGC-1-1	48	0.2
tRNA-Ala-AGC-1-1	49	0.23469387755102042
tRNA-Ala-AGC-1-1	50	0.32941176470588235
tRNA-Ala-AGC-1-1	51	0.28421052631578947
tRNA-Ala-AGC-1-1	52	0.23232323232323232
tRNA-Ala-AGC-1-1	53	0.2987012987012987
tRNA-Ala-AGC-1-1	54	0.22784810126582278
tRNA-Ala-AGC-1-1	55	0.4
tRNA-Ala-AGC-1-1	56	0.225
tRNA-Ala-AGC-1-1	57	0.27586206896551724
tRNA-Ala-AGC-1-1	58	0.3875
tRNA-Ala-AGC-1-1	59	0.1724137931034483
tRNA-Ala-AGC-1-1	60	0.09090909090909091
tRNA-Ala-AGC-1-1	61	0.41333333333333333
tRNA-Ala-AGC-1-1	62	0.25287356321839083
tRNA-Ala-AGC-1-1	63	0.34146341463414637
tRNA-Ala-AGC-1-1	64	0.3191489361702128
tRNA-Ala-AGC-1-1	65	0.24731182795698925
tRNA-Ala-AGC-1-1	66	0.17647058823529413
tRNA-Ala-AGC-1-1	67	0.14457831325301204
tRNA-Ala-AGC-1-1	68	0.2125
tRNA-Ala-AGC-1-1	69	0.23255813953488372
tRNA-Ala-AGC-1-1	70	0.2558139534883721
tRNA-Ala-AGC-1-1	71	0.3181818181818182
tRNA-Ala-AGC-1-1	72	0.1595744680851064
tRNA-Ala-AGC-1-1	73	0.21052631578947367
tRNA-Ala-AGC-1-1	74	0.16666666666666666
tRNA-Ala-AGC-1-1	75	0.15306122448979592
tRNA-Ala-AGC-1-1	76	0.09278350515463918
tRNA-Ala-AGC-1-1	77	0.1368421052631579
tRNA-Ala-AGC-1-1	78	0.23404255319148937
tRNA-Ala-AGC-1-1	79	0.8333333333333334
tRNA-Ala-AGC-1-1	80	0.05154639175257732
tRNA-Ala-AGC-1-1	81	0.052083333333333336
tRNA-Ala-AGC-1-1	82	0.0851063829787234
tRNA-Ala-AGC-1-1	83	0.1125
tRNA-Ala-AGC-1-1	84	0.10526315789473684
tRNA-Ala-AGC-1-1	85	0.1
tRNA-Ala-AGC-1-1	86	0.041237113402061855
tRNA-Ala-AGC-1-1	87	0.0625
tRNA-Ala-AGC-1-1	88	0.030612244897959183
tRNA-Ala-AGC-1-1	89	0.08247422680412371
tRNA-Ala-AGC-1-1	90	0.021052631578947368
tRNA-Ala-AGC-1-1	91	0.03225806451612903
tRNA-Ala-AGC-1-1	92	0.11956521739130435
tRNA-Ala-AGC-1-1	93	0.125
tRNA-Ala-AGC-1-1	94	0.13580246913580246
tRNA-Ala-AGC-1-1	95	0.1282051282051282
tRNA-Ala-AGC-1-1	96	0.12790697674418605
tRNA-Ala-AGC-1-1	97	0.3048780487804878
tRNA-Ala-AGC-1-1	98	0.10344827586206896
tRNA-Ala-AGC-1-1	99	0.12941176470588237
tRNA-Ala-AGC-1-1	100	0.16455696202531644
tRNA-Ala-AGC-1-1	101	0.10256410256410256
tRNA-Ala-AGC-1-1	102	0.15
tRNA-Ala-AGC-1-1	103	0.0410958904109589
tRNA-Ala-AGC-1-1	104	0.16923076923076924
tRNA-Ala-AGC-1-1	105	0.125
tRNA-Ala-AGC-1-1	106	0.0967741935483871
tRNA-Ala-AGC-1-1	107	0.1724137931034483
tRNA-Ala-AGC-1-1	108	0.21428571428571427
tRNA-Ala-AGC-1-1	109	0.15384615384615385
tRNA-Ala-AGC-1-1	110	0.3269230769230769
tRNA-Ala-AGC-1-1	111	0.22448979591836735
tRNA-Ala-AGC-1-1	112	0.37777777777777777
tRNA-Ala-AGC-1-1	113	0.11363636363636363
tRNA-Ala-AGC-1-1	114	0.225
tRNA-Ala-AGC-1-1	115	0.17073170731707318
tRNA-Ala-AGC-1-1	116	0.575
tRNA-Ala-AGC-1-1	117	0.42857142857142855
tRNA-Ala-AGC-1-1	118	0.2682926829268293
tRNA-Ala-AGC-1-1	119	0.175
tRNA-Ala-AGC-1-1	120	0.02564102564102564
tRNA-Ala-AGC-1-1	121	0.02631578947368421
tRNA-Ala-AGC-1-1	122	0.05405405405405406
tRNA-Ala-AGC-1-1	123	0.0
tRNA-Ala-AGC-1-1	124	0.0
tRNA-Ala-AGC-1-1	125	0.0
tRNA-Ala-AGC-1-1	126	0.041666666666666664
tRNA-Ala-AGC-1-1	127	0.0
tRNA-Ala-AGC-1-1	128	0.0
tRNA-Ala-AGC-1-1	129	0.0
tRNA-Ala-AGC-1-1	130	0.0
tRNA-Ala-AGC-1-10	1	0.0
tRNA-Ala-AGC-1-10	2	0.0
tRNA-Ala-AGC-1-10	3	0.0
tRNA-Ala-AGC-1-10	4	0.0
tRNA-Ala-AGC-1-10	5	0.0
tRNA-Ala-AGC-1-10	6	0.0
tRNA-Ala-AGC-1-10	7	0.0
